"start","end","text"
"590","2950"," 90% of retail traders will enter for"
"2950","5630"," a buy position right here, because they see"
"5630","7270"," their price is about to go up right"
"7270","9170"," now after it has retraced."
"9810","11590"," But the next thing you know, price comes"
"11590","13990"," down, hit the stop loss and then go"
"13990","14370"," up."
"14730","16450"," And you're stuck there wondering why does that"
"16450","16810"," happen?"
"17350","19850"," And that happens because, guess what?"
"20090","22290"," There's an order block at this area right"
"22290","22590"," here. "
"22590","26570"," So this is where the financial institutions, the"
"26570","29470"," big banks, the smart money are entering for"
"29470","30050"," the trade."
"30350","31890"," And you can see they were able to"
"31890","35190"," grab liquidity by stopping you out and just"
"35190","36390"," pushing the price back up."
"36530","38690"," It's absolutely ridiculous but this is how the"
"38690","40510"," market operates and there's nothing you can do"
"40510","43310"," about it unless you understand how they trade"
"43310","44530"," so you can trade with them. "
"44530","45870"," So here's what you will learn."
"46370","47450"," What are order blocks?"
"48010","51630"," How to identify order blocks and trade rules"
"51630","53830"," of valid order blocks so that you can"
"53830","55610"," determine which order blocks are going to work"
"55610","57050"," and which one do not work."
"57470","59070"," And lastly, I'm going to show you my"
"59070","62190"," profitable order blocks trading strategy that I've been"
"62190","63930"," using for quite some time now. "
"64090","65970"," Now, I have back tested this strategy and"
"65970","67590"," it has proven to be profitable."
"68070","69510"," So you can trust me on this one."
"69510","71190"," Now firstly, what are order blocks?"
"71550","73850"," Order blocks are basically areas where smart money"
"73850","77170"," are entering buy or sell orders in large"
"77170","77850"," amounts. "
"78450","80570"," You must understand, the market moves based on"
"80570","81170"," liquidity."
"81590","84050"," It needs liquidity to create these large price"
"84050","84650"," movements."
"85270","86430"," So over here you can see in this"
"86430","89110"," example right here, price did not have the"
"89110","92870"," strength to move up until it actually breaks"
"92870","94150"," through the order block a little bit. "
"94150","95930"," And then that is when you can see"
"95930","97550"," the smart money enter for a buy position"
"97550","100150"," right here and you can see prices skyrocketed."
"100990","102970"," So basically order blocks where smart money they"
"102970","105590"," are entering for a lot of buy or"
"105590","108070"," sell orders and this creates liquidity that is"
"108070","109370"," able to move the market."
"109690","111850"," Now the question becomes, how do you identify"
"111850","112650"," order blocks?"
"112970","114950"," I have this simple three step process which"
"114950","115670"," you can follow. "
"116130","118070"," The first step is to find a drastic"
"118070","120370"," and sharp price move and this is what"
"120370","121890"," we call an inefficiency."
"121890","125530"," Where price has created this huge move, most"
"125530","127570"," likely because smart money have entered the trade"
"127570","130130"," and they have entered a large amount of"
"130130","130610"," orders."
"131190","132750"," So price has to come back down to"
"132750","135430"," this area to fill up the inefficiency. "
"136250","137150"," And the next thing you want to do"
"137150","140130"," is to identify the candle before the move,"
"140450","142570"," before the inefficiency happen."
"143190","145190"," And you basically just want to mark the"
"145190","147750"," high and the low of the candle and"
"147750","149270"," that will give you the order block zone."
"149270","151810"," Now you must understand that not all order"
"151810","152450"," blocks work. "
"152770","154430"," There are some order blocks that were filled"
"154430","156630"," and you don't want to be taking trades"
"156630","158170"," on those order blocks that filled."
"158630","161190"," So I have these three rules which define"
"161190","163610"," to me whether it's a valid or invalid"
"163610","164310"," order block."
"164630","166370"," The first rule is there must be some"
"166370","168270"," sort of presence of inefficiency. "
"169030","172130"," There must be momentum which tell us that"
"172130","174290"," smart money have actually entered for this trade"
"174290","177650"," right here and that creates this inefficiency and"
"177650","179650"," in the future price have to come back"
"179650","181290"," down to this area to fill up that"
"181290","182010"," inefficiency."
"182650","184930"," So in order for that to be inefficiency,"
"185310","188030"," there must be a gap for the candle"
"188030","191030"," before this large move and after the large"
"191030","191410"," move."
"191910","193330"," If you look at this one right here,"
"193450","195470"," you can see this is the high, this"
"195470","196690"," is the before candle and this is the"
"196690","198650"," high and this is the after candle and"
"198650","199250"," this is the low. "
"199390","201430"," You can see it forms this huge gap"
"201430","203790"," and this is what we call our inefficiency."
"203790","205270"," And then on the other hand, you can"
"205270","207790"," see in this case, this was the drastic"
"207790","210370"," move but then before that, this was the"
"210370","212730"," high and then after candle, this is the"
"212730","212930"," low."
"213090","214750"," You can see there is no gap right?"
"215410","218350"," Price literally came down to this exact same"
"218350","220770"," area where it went up to last time. "
"221150","222410"," So there was no gap, there is no"
"222410","226030"," inefficiency making this an invalid order block and"
"226030","228650"," making this a valid order block right here."
"228650","230930"," Now the second rule is that it must"
"230930","232650"," create break of structure."
"233070","234590"," What does it mean to have break of"
"234590","234970"," structure?"
"235210","236790"," We know that in an uptrend, price will"
"236790","238370"," never go up in a straight line. "
"238830","240630"," Price has to go up, retrace a little"
"240630","242390"," bit, go up, retrace a little bit, go"
"242390","244590"," up and retrace a little bit, creating what"
"244590","246910"," we call the higher highs and higher lows."
"247590","249470"," And in this case, when price is creating"
"249470","251370"," higher highs and higher lows, it will also"
"251370","252790"," create break of structure."
"252790","256810"," Every single time, price break the previous high,"
"257110","258410"," it will create what we call the break"
"258410","259149"," of structure. "
"259370","260890"," You can see right here, there we have"
"260890","261650"," your break of structure."
"261930","264070"," Once again, price break through the last higher"
"264070","265510"," high, create another break of structure."
"265950","267670"," And then when price once again breaks the"
"267670","270530"," last high, it creates another break of structure. "
"270950","272770"," That is why in order for an order"
"272770","275070"," block to be valid, it has to create"
"275070","276090"," break of structure."
"276090","278150"," So after you have identified the break of"
"278150","280050"," structure, you want to find the origin point"
"280050","282010"," that leads to this break of structure, which"
"282010","283990"," is this move down here, or this move"
"283990","284430"," down here."
"284810","286870"," And there you have all your order blocks"
"286870","287610"," right there. "
"288030","289830"," So as you can see right here, after"
"289830","292590"," price has broke structure, it come back down"
"292590","295010"," to retrace this order block we have right"
"295010","296990"," here before pushing up even further."
"297490","298730"," And then same thing right here, price comes"
"298730","301410"," back down, retrace this order block before pushing"
"301410","303250"," up and breaking through structure."
"303250","305650"," So now we can expect price to come"
"305650","306890"," back down to this order block that we"
"306890","309930"," have right here and create another higher high. "
"310390","311470"," Before I move on to the next rule,"
"311610","312430"," let me drink some tea."
"314450","315930"," Now this is actually a secret hack, but"
"315930","318510"," tea actually helps you to become a profitable"
