"start","end","text"
"310","1710"," Most traders think they need to make $1 "
"1710","3710",",000 a day to kind of make it."
"4030","5470"," And we had this trader on our desk"
"5470","8030"," who was absolutely obsessed with this concept."
"8370","10030"," He started out and he'd want to be"
"10030","12310"," sure that he was making $1,000 every"
"12310","12530"," day. "
"12570","13270"," That was his goal."
"13450","15770"," He attached himself to that number."
"15950","19110"," That was really what he wanted so badly. "
"19950","21910"," And for some reason he felt like without"
"21910","24210"," it he wouldn't be a successful trader or"
"24210","25450"," really a successful person."
"25450","27290"," So he would come in in the morning"
"27290","29170"," and say, you know, Jeff, if I make"
"29170","31150"," $1,000 a day every day, I would"
"31150","32050"," be so happy."
"32490","33890"," I'd be such a happy trader. "
"34230","35470"," I mean, it sounds good, right?"
"35670","36910"," But it's kind of a trap."
"37570","39190"," What if I told you that the real"
"39190","42210"," goal, the actual smart goal to have is"
"42210","44010"," making $200 a day?"
"44590","47270"," And that's exactly how some of our best"
"47270","49130"," traders at SMB started."
"49530","50490"," My name is Jeff Holden. "
"50710","52450"," I'm the head of trader development at SMB"
"52450","52730"," Capital."
"52730","55030"," And in this video, I'm going to walk"
"55030","57970"," you through the exact blueprint for how traders"
"57970","61710"," on our desk started with a $200 a"
"61710","64650"," day goal and how they actually make $200"
"64650","66590"," a day and how you can do it"
"66590","68450"," too, even if you're brand new to trading"
"68450","69230"," in 2025."
"69750","71670"," We're going to talk about that trader. "
"71870","72830"," We can call him Grant."
"73390","75610"," And some of the challenge that he ran"
"75610","78610"," into starting with the wrong goal, which is"
"78610","80350"," a lot of what this entire discussion is"
"80350","83070"," about, making sure that you're starting with the"
"83070","85790"," right goal and why $200 a day is"
"85790","87970"," the perfect goal to start with."
"88390","91090"," So $200 a day is $4,000 a"
"91090","91310"," month. "
"91590","92230"," That's rent."
"92930","93730"," That's groceries."
"94070","95030"," That's real money. "
"95290","96910"," And most importantly, it's scalable."
"97650","99830"," Let's talk about the three things you need"
"99830","102830"," in order to make $200 a day."
"103090","104690"," So if you want to make $200 a"
"104690","108450"," day consistently, you don't need 20 screens or"
"108450","109230"," a crystal ball. "
"109230","111710"," You only need three things."
"112050","114790"," You need a high probability setup you actually"
"114790","115730"," understand."
"116350","117750"," Let's talk about these setups. "
"117890","120150"," One of the best for newer traders is"
"120150","123470"," just scalping around the 9 EMA on continuation"
"123470","124110"," touches."
"124590","127570"," They're fast, they're repeatable, and they're very manageable."
"128669","131110"," We had traders like E who started his"
"131110","134530"," trading journey just watching 9 EMA setups all"
"134530","134830"," day. "
"134830","137970"," He focused on one or two names, and"
"137970","139570"," then he traded them more like a sniper."
"140470","141070"," And guess what?"
"141330","143530"," He was able to meet those consistency goals"
"143530","146750"," quickly by taking that sniper mindset."
"147090","148990"," This is a trade that we love on"
"148990","149330"," the desk. "
"149430","150770"," It's called the second chance scalp."
"151250","153050"," And the second chance scalp is something that"
"153050","154150"," shows up on the scalp radar."
"154350","155490"," This one showed up on the scalp radar. "
"155970","159070"," But what is great about this is you're"
"159070","162750"," not actually trying to predict that this second"
"162750","164030"," chance scalp will occur."
"164030","166530"," What you're doing is looking for the price"
"166530","169250"," action to break out of range and then"
"169250","171330"," pull back to that area that it broke"
"171330","171890"," from."
"172950","175510"," So the setup changes, and then you're watching"
"175510","177490"," as the stock pulls back in. "
"177770","180890"," These are opportunities that give you superior risk"
"180890","184330"," to reward when they show up for you."
"184330","186850"," So they allow you to risk that $50"
"186850","190710"," or $40 or $30, kind of control your"
"190710","193710"," risk and look for that superior risk to"
"193710","194190"," reward."
"194910","196910"," Broadly speaking, if you're trying to make $200"
"196910","198970"," a day, you should probably be risking about"
"198970","200210"," $50 in a trade. "
"201090","203110"," You're going to want to find that number"
"203110","204310"," for you appropriately."
"204830","207510"," But broadly speaking, you're probably at about $50"
"207510","210470"," of risk per trade for $200 in a"
"210470","210650"," day."
"211350","212910"," Maybe a little bit less. "
